theta,phi,FILE_Visar_1,FILE_Visar_2,FILE_Diffraction_Image_1,FILE_Diffraction_Image_2,FILE_Diffraction_1,FILE_Diffraction_2
0,-180,graph1/0_-180.txt,graph1/0_-180.txt,image/-180/0.png,image/-180/0.png,graph1/0_-180.txt,graph1/0_-180.txt
0,-162,graph1/0_-162.txt,graph1/0_-162.txt,image/-162/0.png,image/-180/0.png,graph1/0_-162.txt,graph1/0_-162.txt
0,-144,graph1/0_-144.txt,graph1/0_-144.txt,image/-144/0.png,image/-180/0.png,graph1/0_-144.txt,graph1/0_-144.txt
0,-126,graph1/0_-126.txt,graph1/0_-126.txt,image/-126/0.png,image/-180/0.png,graph1/0_-126.txt,graph1/0_-126.txt
0,-108,graph1/0_-108.txt,graph1/0_-108.txt,image/-108/0.png,image/-180/0.png,graph1/0_-108.txt,graph1/0_-108.txt
0,-90,graph1/0_-90.txt,graph1/0_-90.txt,image/-90/0.png,image/-180/0.png,graph1/0_-90.txt,graph1/0_-90.txt
0,-72,graph1/0_-72.txt,graph1/0_-72.txt,image/-72/0.png,image/-180/0.png,graph1/0_-72.txt,graph1/0_-72.txt
0,-54,graph1/0_-54.txt,graph1/0_-54.txt,image/-54/0.png,image/-180/0.png,graph1/0_-54.txt,graph1/0_-54.txt
0,-36,graph1/0_-36.txt,graph1/0_-36.txt,image/-36/0.png,image/-180/0.png,graph1/0_-36.txt,graph1/0_-36.txt
0,-18,graph1/0_-18.txt,graph1/0_-18.txt,image/-18/0.png,image/-180/0.png,graph1/0_-18.txt,graph1/0_-18.txt
0,0,graph1/0_0.txt,graph1/0_0.txt,image/0/0.png,image/-180/0.png,graph1/0_0.txt,graph1/0_0.txt
0,18,graph1/0_18.txt,graph1/0_18.txt,image/18/0.png,image/-180/0.png,graph1/0_18.txt,graph1/0_18.txt
0,36,graph1/0_36.txt,graph1/0_36.txt,image/36/0.png,image/-180/0.png,graph1/0_36.txt,graph1/0_36.txt
0,54,graph1/0_54.txt,graph1/0_54.txt,image/54/0.png,image/-180/0.png,graph1/0_54.txt,graph1/0_54.txt
0,72,graph1/0_72.txt,graph1/0_72.txt,image/72/0.png,image/-180/0.png,graph1/0_72.txt,graph1/0_72.txt
0,90,graph1/0_90.txt,graph1/0_90.txt,image/90/0.png,image/-180/0.png,graph1/0_90.txt,graph1/0_90.txt
0,108,graph1/0_108.txt,graph1/0_108.txt,image/108/0.png,image/-180/0.png,graph1/0_108.txt,graph1/0_108.txt
0,126,graph1/0_126.txt,graph1/0_126.txt,image/126/0.png,image/-180/0.png,graph1/0_126.txt,graph1/0_126.txt
0,144,graph1/0_144.txt,graph1/0_144.txt,image/144/0.png,image/-180/0.png,graph1/0_144.txt,graph1/0_144.txt
0,162,graph1/0_162.txt,graph1/0_162.txt,image/162/0.png,image/-180/0.png,graph1/0_162.txt,graph1/0_162.txt
